시군구,번지,단지명,전용면적,거래금액
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"67,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"63,500"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"69,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"71,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"75,500"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"78,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"61,500"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"67,800"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"79,600"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"67,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"70,300"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"75,500"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"70,800"
경기도 부천시 삼정동,276,e-좋은아침,58.31,"26,400"
경기도 부천시 삼정동,276,e-좋은아침,58.31,"28,600"
경기도 부천시 삼정동,299,블리체,68.86,"31,200"
경기도 부천시 삼정동,276-6,삼정 뷰그리안,84.794,"34,000"
경기도 부천시 삼정동,276-6,삼정 뷰그리안,84.794,"30,500"
경기도 부천시 삼정동,276-6,삼정 뷰그리안,84.794,"36,000"
경기도 부천시 삼정동,311-1,신한일,51.84,"15,200"
경기도 부천시 삼정동,311-1,신한일,51.84,"15,000"
경기도 부천시 삼정동,311-1,신한일,48.36,"14,200"
경기도 부천시 삼정동,311-1,신한일,48.36,"14,200"
경기도 부천시 삼정동,299-3,영동아파트,69.15,"31,800"
경기도 부천시 삼정동,285-36,정석,84.34,"18,500"
경기도 부천시 삼정동,285-36,정석,84.34,"19,000"
경기도 부천시 삼정동,347-8,청연,45.5,"16,000"
경기도 부천시 상동,548-7,WITHUSVILL,84.85,"38,500"
경기도 부천시 상동,445,꿈동산(신안),101.98,"59,000"
경기도 부천시 상동,445,꿈동산(신안),134.79,"68,000"
경기도 부천시 상동,445,꿈동산(신안),134.79,"68,000"
경기도 부천시 상동,445,꿈동산(신안),134.79,"69,500"
경기도 부천시 상동,500-2,다정한마을(금강),84.986,"70,000"
경기도 부천시 상동,500-2,다정한마을(금강),84.986,"72,700"
경기도 부천시 상동,500-2,다정한마을(금강),84.986,"74,500"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"63,000"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"66,000"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"60,000"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"70,000"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"61,900"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"69,500"
경기도 부천시 상동,500-4,다정한마을(삼성),84.935,"71,300"
경기도 부천시 상동,500-5,다정한마을(쌍용),101.703,"74,000"
경기도 부천시 상동,500-5,다정한마을(쌍용),101.703,"75,000"
경기도 부천시 상동,500-5,다정한마을(쌍용),134.903,"87,000"
경기도 부천시 상동,500-5,다정한마을(쌍용),134.946,"74,000"
경기도 부천시 상동,500-5,다정한마을(쌍용),134.903,"88,500"
경기도 부천시 상동,500-5,다정한마을(쌍용),157.928,"88,700"
경기도 부천시 상동,500-5,다정한마을(쌍용),134.946,"94,500"
경기도 부천시 상동,500-5,다정한마을(쌍용),157.928,"100,000"
경기도 부천시 상동,500-1,다정한마을(주공),84.8,"64,000"
경기도 부천시 상동,500-1,다정한마을(주공),84.8,"60,500"
경기도 부천시 상동,542-3,동양파라곤,104.61,"48,400"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"58,000"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"56,000"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"70,000"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"61,000"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"71,000"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"73,500"
경기도 부천시 상동,525-1,라일락마을(경남아너스빌),84.8,"71,000"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9854,"65,000"
